stock_owner,trade_date,deep_turnover,deep_volume,deep_contracts,deep_oi_sum,deep_avg_churn,deep_max_churn,deep_avg_notional_churn,deep_avg_iv,deep_avg_delta,day_total_turnover,deep_turnover_share,is_churning
US.GOOG,2026-05-08,57815257.0,5929,8,14086,32.0070622047298,133.5,3.7940095236984632,34.558875,0.8216173005,95419026.0,0.6059091087347717,True
US.GOOGL,2026-05-08,98307057.0,10092,10,32272,1.052293735722877,8.415384615384616,0.7750192161642888,20.7302,0.47176992789999994,324826937.0,0.30264441092211514,False
US.GWW,2026-05-08,3833101.0,201,1,984,0.20426829268292682,0.20426829268292682,0.031564928656741396,24.071,0.915742237,5121189.0,0.7484787224216877,False
US.HOOD,2026-05-08,779675.0,789,1,17228,0.04579753889017878,0.04579753889017878,0.005932914114399444,58.701,0.709676309,8241268.0,0.09460619409537464,False
US.HWM,2026-05-08,1765697.0,620,2,781,0.7984118175572115,0.8515406162464986,0.08148545154204273,18.188,0.4350796465,5409772.0,0.3263902804036843,False
US.IBM,2026-05-08,17297241.0,5643,13,616,9.52271268860998,11.378378378378379,1.3044287543749344,0.0,0.0,25340646.0,0.682588794303034,True
US.INTC,2026-05-08,50170909.0,18595,21,198684,0.30393599352773365,3.342541436464088,0.0851555815470251,90.51085714285715,0.8366645501428571,155802792.0,0.32201546811818366,False
US.JBHT,2026-05-08,1749450.0,545,1,1060,0.5141509433962265,0.5141509433962265,0.06814585772748201,46.015,0.984265531,1749450.0,1.0,False
US.JCI,2026-05-08,611378.0,254,1,650,0.39076923076923076,0.39076923076923076,0.06754625051788427,43.073,0.921115632,611378.0,1.0,False
US.LITE,2026-05-08,29749699.0,1997,3,2188,0.9329019143812219,0.9960835509138382,0.13741546732898738,78.60000000000001,0.5756283333333333,45493614.0,0.6539313188000409,False
US.LLY,2026-05-08,13090325.0,574,2,1155,0.5241519174041298,0.5899705014749262,0.13841614663883628,0.0,0.0,15174530.0,0.8626511002317699,False
US.LRCX,2026-05-08,5566053.0,1095,2,650,12.446778711484594,23.952380952380953,1.9239551050563115,117.99799999999999,0.899129532,7008514.0,0.7941844733419952,True
US.MCHP,2026-05-08,15539869.0,7001,3,14879,0.5798589831362279,0.8701449275362318,0.1376758828611353,59.898,0.9081164403333334,25874809.0,0.6005790806030684,False
US.MKSI,2026-05-08,912110.0,248,1,239,1.0376569037656904,1.0376569037656904,0.12687788266351882,76.551,0.84543203,1662160.0,0.5487498195119603,False
US.MRVL,2026-05-08,4565712.0,1334,2,818,7.995437017994859,15.05,1.3805786339028616,174.3235,0.8696384985000001,22889190.0,0.1994702302702717,True
US.MSFT,2026-05-08,64809795.0,12765,2,1400,8.721878828662067,17.121418826739426,1.053897840437116,33.280499999999996,0.858876077,359956303.0,0.18004906278860186,True
US.MSTR,2026-05-08,1025353.0,259,1,2579,0.10042652190771617,0.10042652190771617,0.02210730334249116,70.019,0.700739556,60502239.0,0.016947356278831267,False
US.MTSI,2026-05-08,9089962.0,1321,2,4027,0.31055124500750975,0.3443535188216039,0.06230501482105669,71.1505,0.7186617795000001,9089962.0,1.0,False
US.MU,2026-05-08,168358973.0,14018,20,74443,2.1639033763144035,29.392,0.36374565730717673,94.933,0.73723760975,650775779.0,0.25870503855983246,False
US.NFLX,2026-05-08,542203.0,208,1,56,3.7142857142857144,3.7142857142857144,1.097132739781465,108.85,0.985690102,14230809.0,0.03810064487549513,True
US.NOW,2026-05-08,1343403.0,522,2,12,43.5,51.833333333333336,11.961774762260925,108.329,0.4993484635,24119026.0,0.05569889099170091,True
US.NVDA,2026-05-08,111013600.0,41923,42,694637,5.760370302851337,229.0,15817.404731560684,58.375571428571426,0.8487353270238096,1111487886.0,0.09987837150390678,True
