stock_owner,max_score,avg_score,signal_days,total_turnover,max_daily_turnover
US.TXN,64.82,50.00333333333333,3,18118445.0,14256901.0
US.APH,64.81,64.81,1,10878309.0,10878309.0
US.NBIX,64.6,64.6,1,783900.0,783900.0
US.PFE,64.51,40.260000000000005,2,36650283.0,36192769.0
US.JBL,64.44,57.54,2,5874324.0,5370708.0
US.XYZ,64.26,53.73,3,11737761.0,5754799.0
US.STLD,64.25,64.25,1,5353781.0,5353781.0
US.CAT,64.04,51.755,2,20250589.0,16307599.0
US.C,63.79,40.949999999999996,3,13189991.0,6750855.0
US.AEP,63.38,63.38,1,27431308.0,27431308.0
US.CRCL,63.37,63.37,1,18211768.0,18211768.0
US.FSLR,62.22,37.754999999999995,2,3362613.0,2956339.0
US.AAL,61.76,48.230000000000004,2,2594572.0,1612457.0
US.WDAY,61.66,61.66,1,1998629.0,1998629.0
US.HWM,61.57,56.625,2,10071155.0,5409772.0
US.NFLX,61.5,59.32333333333333,3,31249827.0,14230809.0
US.FICO,61.15,61.15,1,20503695.0,20503695.0
US.BIDU,60.95,47.98,3,14509164.0,7431197.0
US.DINO,60.92,60.92,1,65339057.0,65339057.0
US.GME,60.66,43.04,3,9371263.0,5272849.0
US.ANET,60.65,40.836666666666666,3,12314822.0,9860066.0
US.Q,60.61,60.61,1,1809350.0,1809350.0
US.HOOD,60.55,55.53333333333333,3,36866655.0,14567095.0
US.ON,60.53,52.696666666666665,3,11038709.0,6368572.0
US.OXY,60.53,60.53,1,3098274.0,3098274.0
US.VST,60.51,47.18333333333334,3,19992937.0,12063595.0
US.RCL,60.47,60.47,1,6304543.0,6304543.0
US.EXPE,60.27,60.27,1,10009163.0,10009163.0
US.GDX,59.82,59.82,1,7480449.0,7480449.0
US.PENG,59.55,59.55,1,2906866.0,2906866.0
US.CVX,58.98,32.17333333333333,3,3438268.0,1665498.0
US.HIMS,58.95,44.8,2,8268312.0,7748854.0
US.NXPI,58.94,40.71,2,4367272.0,3646322.0
US.BIIB,58.61,58.61,1,3314297.0,3314297.0
